Robot ID,Task Type,Action Start Time,Action End Time,Action Duration (ms),Comm Type,Packet Size (bytes),Latency (ms),Throughput (Mbps),Packet Loss (%),Jitter (ms),SNR (dB),Bandwidth Allocation (Mbps),AI Decision Time (ms),Model Accuracy (%),Error Rate (%),Environment Type,Robot Type,Task Complexity,Interaction Density
R52,Object Manipulation,2025-01-05 03:19:00,2025-01-05 03:19:49,49000.0,Robot-to-Human,1318,43.710448661402125,471.93320689523387,0.26054344237900184,4.715158419451798,21.912292392453608,222.55252173151385,79,98.20016009539309,3.939739200177807,Healthcare Facility,Autonomous Vehicle,Simple,6
R93,Inspection,2025-01-03 06:49:00,2025-01-03 06:49:06,6000.0,Robot-to-Robot,1697,75.5484086143314,315.7747452718918,0.8269866401274646,2.518586151842456,28.925331564534268,300.06134119259013,84,97.49852862190212,0.462653964217129,Warehouse,Industrial Robot,Medium,6
R15,Collaboration,2025-01-04 20:26:00,2025-01-04 20:26:39,39000.0,Robot-to-Network,658,33.485892147810304,532.5598546949789,1.415400169846439,2.9606748764114736,23.64397555413046,266.07968861857694,55,96.74798455114575,2.428633045004345,Warehouse,Industrial Robot,Simple,4
R72,Inspection,2025-01-02 21:58:00,2025-01-02 21:58:49,49000.0,Robot-to-Human,1947,93.39754814957415,577.2671178563995,0.9742968214400543,1.805430986777369,23.826004225618,200.17521660065066,82,98.83310699716,1.866719118483862,Warehouse,Autonomous Vehicle,Simple,9
R61,Inspection,2025-01-04 16:31:00,2025-01-04 16:31:13,13000.0,Robot-to-Human,767,83.38576938157621,613.4506935147664,0.662467785286881,1.0405298816444741,27.998631582658,306.18268076871277,62,90.2360705318406,3.163331166239133,Warehouse,Service Robot,Complex,2
R21,Collaboration,2025-01-03 20:27:00,2025-01-03 20:27:26,26000.0,Robot-to-Robot,881,95.87164258924807,814.3051692475509,0.2125999878106426,1.7791024506440096,25.354599324720315,449.805768205098,59,98.8938409098334,2.713874004664926,Warehouse,Industrial Robot,Simple,7
R83,Object Manipulation,2025-01-02 07:35:00,2025-01-02 07:35:23,23000.0,Robot-to-Human,1162,59.289849673020925,582.4797018535883,0.9191114662012678,4.715705045500659,22.31383398286126,128.47798142263233,65,92.10950383071662,1.7334239425870246,Factory Floor,Industrial Robot,Simple,7
R87,Inspection,2025-01-02 17:40:00,2025-01-02 17:40:54,54000.0,Robot-to-Robot,1826,32.394268988326324,436.66791691009513,0.19477246578864849,2.8254873140975407,29.145356087796976,464.57774215445164,50,90.3749631757424,0.528383873601157,Warehouse,Service Robot,Simple,4
R75,Inspection,2025-01-02 23:09:00,2025-01-02 23:09:41,41000.0,Robot-to-Human,1875,53.907386141873054,578.7023639595391,0.7417645401797017,1.5233826976168783,28.051810335108158,122.1154054509022,70,94.03820247086362,0.6816742806695864,Healthcare Facility,Industrial Robot,Medium,2
R75,Inspection,2025-01-01 00:47:00,2025-01-01 00:47:14,14000.0,Robot-to-Robot,587,66.10260848291418,348.69550412083066,0.23244853347409244,2.8102918827164616,25.999437313788427,278.453936079707,66,96.1768071874509,3.4064510701051227,Healthcare Facility,Industrial Robot,Complex,7
R88,Navigation,2025-01-02 15:24:00,2025-01-02 15:24:50,50000.0,Robot-to-Robot,1080,95.51103125314081,980.4519604727853,1.3523205968088086,4.170944577556177,25.12094427108265,110.64753010284542,50,92.6555215598527,2.4651877090648844,Warehouse,Industrial Robot,Medium,3
R100,Inspection,2025-01-04 22:26:00,2025-01-04 22:26:25,25000.0,Robot-to-Robot,1016,91.81465407211716,346.36338606828497,1.545206988992952,3.003182302369049,26.75369886087071,389.1538976518762,58,94.03028924947151,3.943036671286291,Warehouse,Industrial Robot,Simple,8
R24,Collaboration,2025-01-05 11:38:00,2025-01-05 11:38:21,21000.0,Robot-to-Network,1856,71.5850254124708,441.3235974500549,0.4869704710583218,4.747297409947892,23.60854878059683,145.17324409608813,37,92.13154214880018,4.626105151637293,Factory Floor,Autonomous Vehicle,Complex,5
R3,Object Manipulation,2025-01-07 05:05:00,2025-01-07 05:05:07,7000.0,Robot-to-Human,1173,81.08265765004998,599.6221455051152,0.1494318204546632,4.593446704845439,26.940996092912282,434.09889369724095,81,90.01153610714779,3.3731875292299844,Warehouse,Service Robot,Medium,2
R22,Object Manipulation,2025-01-06 16:17:00,2025-01-06 16:17:11,11000.0,Robot-to-Network,1527,96.77288045425827,953.3840807726665,0.6940608817639466,2.8929967014534186,20.38294497180255,459.3068897664145,68,98.0462559839696,4.5605294598039965,Factory Floor,Industrial Robot,Complex,9
R53,Collaboration,2025-01-06 07:10:00,2025-01-06 07:10:45,45000.0,Robot-to-Network,1842,89.54141147232822,425.11601424852074,1.1210552385288428,1.3318318230735926,23.997760715863116,261.27723947173865,98,93.25997752097996,0.13796688900285514,Warehouse,Service Robot,Medium,7
R2,Navigation,2025-01-06 12:11:00,2025-01-06 12:11:41,41000.0,Robot-to-Network,858,76.11735765263785,579.8449436498252,1.5358761723995147,3.8177878714708116,26.17434576981257,494.37109413289903,43,91.31851809167543,2.6871399472416506,Healthcare Facility,Industrial Robot,Medium,8
R88,Collaboration,2025-01-05 21:38:00,2025-01-05 21:38:40,40000.0,Robot-to-Network,1928,67.80386098457743,992.5219407423024,0.8057956732246547,2.4255162537338593,26.213916513973576,258.94938682491227,67,93.46748587108125,1.3350855510804749,Warehouse,Industrial Robot,Complex,4
R30,Object Manipulation,2025-01-02 22:42:00,2025-01-02 22:42:07,7000.0,Robot-to-Human,1734,63.32285333271813,721.43333831892,0.7318908041256329,4.142912236829824,20.713740186314176,282.9512046035222,44,90.12592580339965,0.9836289611448629,Factory Floor,Autonomous Vehicle,Simple,9
R38,Collaboration,2025-01-06 23:14:00,2025-01-06 23:14:17,17000.0,Robot-to-Human,693,82.96268233443087,730.2082915631781,1.8166734526377555,2.23547275621947,27.19625199131872,267.78252530216935,59,90.72350725168188,1.4015827040721918,Warehouse,Autonomous Vehicle,Complex,8
R2,Navigation,2025-01-02 10:46:00,2025-01-02 10:46:45,45000.0,Robot-to-Network,751,86.61411106301603,981.8905572197364,0.8993727140982692,2.322490271480821,20.847517231026515,317.8595935545595,56,95.01674718402015,4.0973328603153325,Healthcare Facility,Industrial Robot,Medium,4
R64,Object Manipulation,2025-01-05 16:04:00,2025-01-05 16:04:34,34000.0,Robot-to-Human,577,45.23508014283866,654.2687333635386,0.8944361251783837,3.1692822619920604,27.408322042201885,467.85368266875184,64,92.02832037704167,3.1495135602702256,Warehouse,Autonomous Vehicle,Simple,5
R60,Navigation,2025-01-05 06:35:00,2025-01-05 06:35:27,27000.0,Robot-to-Human,682,63.1817579140089,301.7925211740147,0.8199982226932405,1.0995911998598125,29.1199597943555,143.14943650664898,70,95.89724933121843,3.885621897741824,Healthcare Facility,Service Robot,Medium,7
R21,Collaboration,2025-01-01 19:09:00,2025-01-01 19:09:11,11000.0,Robot-to-Robot,676,83.98068825900815,321.6857504276403,0.7264391908448085,1.6786266519651618,29.753278274938275,257.7820286643525,82,94.07049888805759,2.4991479778485486,Warehouse,Industrial Robot,Complex,6
R33,Inspection,2025-01-01 01:02:00,2025-01-01 01:02:34,34000.0,Robot-to-Human,1465,77.29952487376335,776.9786934439119,1.4569656200409902,4.40565721893255,26.035338681212167,242.67690035367707,90,90.64371305608732,1.336106499384978,Factory Floor,Autonomous Vehicle,Medium,8
R76,Collaboration,2025-01-03 04:33:00,2025-01-03 04:33:33,33000.0,Robot-to-Network,574,71.41037745388303,448.05785993645145,0.5635652164890725,4.826290069180333,27.14068340418453,139.96370953439737,74,94.76441687056987,2.34090142233568,Factory Floor,Industrial Robot,Simple,3
R58,Navigation,2025-01-07 09:20:00,2025-01-07 09:20:12,12000.0,Robot-to-Human,866,52.660856891040495,634.9365150432452,0.7575515798768855,1.7683463438420546,22.338243262390705,410.3403320436962,59,95.70114361622879,1.0740261304352656,Factory Floor,Industrial Robot,Complex,1
R22,Collaboration,2025-01-05 02:58:00,2025-01-05 02:58:14,14000.0,Robot-to-Network,562,72.64530827218799,685.9605793777814,0.5645807048056466,4.0898675628309835,23.745068073382004,155.40371067398053,30,95.01881826306577,4.957205560066401,Warehouse,Autonomous Vehicle,Simple,1
